,CL
1983-03-30 21:30:00,91.4
1983-03-31 21:30:00,91.29
1983-04-04 21:30:00,91.44
1983-04-05 21:30:00,91.71
1983-04-06 21:30:00,91.9
1983-04-07 21:30:00,92.17
1983-04-08 21:30:00,92.38
1983-04-11 21:30:00,92.26
1983-04-12 21:30:00,92.83
1983-04-13 21:30:00,92.82
1983-04-14 21:30:00,92.69
1983-04-15 21:30:00,92.48
1983-04-18 21:30:00,92.75
1983-04-19 21:30:00,92.75
1983-04-20 21:30:00,92.7
1983-04-21 21:30:00,92.68
1983-04-22 21:30:00,92.75
1983-04-25 21:30:00,92.84
1983-04-26 21:30:00,92.71
1983-04-27 21:30:00,92.78
1983-04-28 21:30:00,92.74
1983-04-29 21:30:00,92.63
1983-05-02 21:30:00,92.61
1983-05-03 21:30:00,92.5
1983-05-04 21:30:00,92.42
1983-05-05 21:30:00,92.2
1983-05-06 21:30:00,92.45
1983-05-09 21:30:00,92.1
1983-05-10 21:30:00,92.31
1983-05-11 21:30:00,91.97
1983-05-12 21:30:00,91.72
1983-05-13 21:30:00,91.8
1983-05-16 21:30:00,92.12
1983-05-17 21:30:00,91.91
1983-05-18 21:30:00,91.75
1983-05-19 21:30:00,91.8
1983-05-20 21:30:00,92.15
1983-05-23 21:30:00,92.12
1983-05-24 21:30:00,91.9
1983-05-25 21:30:00,92.1
1983-05-26 21:30:00,92.16
1983-05-27 21:30:00,92.04
1983-05-31 21:30:00,92.1
1983-06-01 21:30:00,92.18
1983-06-02 21:30:00,92.25
1983-06-03 21:30:00,92.21
1983-06-06 21:30:00,92.2
1983-06-07 21:30:00,92.44
1983-06-08 21:30:00,92.45
1983-06-09 21:30:00,92.34
1983-06-10 21:30:00,92.62
1983-06-13 21:30:00,92.85
1983-06-14 21:30:00,92.85
1983-06-15 21:30:00,93.15
1983-06-16 21:30:00,93.45
1983-06-17 21:30:00,93.25
1983-06-20 21:30:00,93.38
1983-06-21 21:30:00,93.14
1983-06-22 21:30:00,92.91
1983-06-23 21:30:00,93.06
1983-06-24 21:30:00,93.16
1983-06-27 21:30:00,93.16
1983-06-28 21:30:00,93.2
1983-06-29 21:30:00,93.16
1983-06-30 21:30:00,93.34
1983-07-01 21:30:00,93.31
1983-07-05 21:30:00,93.23
1983-07-06 21:30:00,93.16
1983-07-07 21:30:00,93.36
1983-07-08 21:30:00,93.36
1983-07-11 21:30:00,93.6
1983-07-12 21:30:00,93.68
1983-07-13 21:30:00,93.83
1983-07-14 21:30:00,93.81
1983-07-15 21:30:00,93.66
1983-07-18 21:30:00,93.66
1983-07-19 21:30:00,93.71
1983-07-20 21:30:00,93.74
1983-07-21 21:30:00,93.6
1983-07-22 21:30:00,93.55
1983-07-25 21:30:00,93.49
1983-07-26 21:30:00,93.62
1983-07-27 21:30:00,93.82
1983-07-28 21:30:00,93.91
1983-07-29 21:30:00,94.09
1983-08-01 21:30:00,94.21
1983-08-02 21:30:00,94.29
1983-08-03 21:30:00,94.29
1983-08-04 21:30:00,94.23
1983-08-05 21:30:00,94.24
1983-08-08 21:30:00,94.14
1983-08-09 21:30:00,94.03
1983-08-10 21:30:00,94.23
1983-08-11 21:30:00,94.04
1983-08-12 21:30:00,94.08
1983-08-15 21:30:00,94.09
1983-08-16 21:30:00,94.07
1983-08-17 21:30:00,93.96
1983-08-18 21:30:00,93.81
1983-08-19 21:30:00,93.83
1983-08-22 21:30:00,93.71
1983-08-23 21:30:00,93.83
1983-08-24 21:30:00,93.75
1983-08-25 21:30:00,93.91
1983-08-26 21:30:00,93.98
1983-08-29 21:30:00,93.84
1983-08-30 21:30:00,93.86
1983-08-31 21:30:00,93.77
1983-09-01 21:30:00,93.78
1983-09-02 21:30:00,93.75
1983-09-06 21:30:00,93.54
1983-09-07 21:30:00,93.56
1983-09-08 21:30:00,93.52
1983-09-09 21:30:00,93.39
1983-09-12 21:30:00,93.33
1983-09-13 21:30:00,93.41
1983-09-14 21:30:00,93.58
1983-09-15 21:30:00,93.66
1983-09-16 21:30:00,93.73
1983-09-19 21:30:00,93.68
1983-09-20 21:30:00,93.56
1983-09-21 21:30:00,93.62
1983-09-22 21:30:00,93.53
1983-09-23 21:30:00,93.53
1983-09-26 21:30:00,93.45
1983-09-27 21:30:00,93.34
1983-09-28 21:30:00,92.99
1983-09-29 21:30:00,92.83
1983-09-30 21:30:00,92.59
1983-10-03 21:30:00,92.15
1983-10-04 21:30:00,92.41
1983-10-05 21:30:00,92.43
1983-10-06 21:30:00,92.49
1983-10-07 21:30:00,92.7
1983-10-10 21:30:00,93.08
1983-10-11 21:30:00,92.8
1983-10-12 21:30:00,92.75
1983-10-13 21:30:00,92.89
1983-10-14 21:30:00,92.78
1983-10-17 21:30:00,92.84
1983-10-18 21:30:00,92.91
1983-10-19 21:30:00,92.68
1983-10-20 21:30:00,92.66
1983-10-21 21:30:00,92.69
1983-10-24 21:30:00,92.8
1983-10-25 21:30:00,92.79
1983-10-26 21:30:00,92.59
1983-10-27 21:30:00,92.67
1983-10-28 21:30:00,92.62
1983-10-31 21:30:00,92.73
1983-11-01 21:30:00,92.74
1983-11-02 21:30:00,92.71
1983-11-03 21:30:00,92.78
1983-11-04 21:30:00,92.82
1983-11-07 21:30:00,92.75
1983-11-08 21:30:00,92.74
1983-11-09 21:30:00,92.74
1983-11-10 21:30:00,92.62
1983-11-11 21:30:00,92.5
1983-11-14 21:30:00,92.51
1983-11-15 21:30:00,92.53
1983-11-16 21:30:00,92.31
1983-11-17 21:30:00,91.87
1983-11-18 21:30:00,92.11
1983-11-21 21:30:00,92.06
1983-11-22 21:30:00,91.96
1983-11-23 21:30:00,92.11
1983-11-28 21:30:00,92.61
1983-11-29 21:30:00,92.31
1983-11-30 21:30:00,92.15
1983-12-01 21:30:00,92.2
1983-12-02 21:30:00,92.3
1983-12-05 21:30:00,92.22
1983-12-06 21:30:00,92.21
1983-12-07 21:30:00,91.98
1983-12-08 21:30:00,92.19
1983-12-09 21:30:00,92.23
1983-12-12 21:30:00,92.19
1983-12-13 21:30:00,92.13
1983-12-14 21:30:00,92.2
1983-12-15 21:30:00,92.03
1983-12-16 21:30:00,91.49
1983-12-19 21:30:00,91.64
1983-12-20 21:30:00,92.02
1983-12-21 21:30:00,92.14
1983-12-22 21:30:00,92.34
1983-12-23 21:30:00,92.7
1983-12-27 21:30:00,93.11
1983-12-28 21:30:00,93.24
1983-12-29 21:30:00,92.92
1983-12-30 21:30:00,92.86
1984-01-03 21:30:00,92.66
1984-01-04 21:30:00,92.76
1984-01-05 21:30:00,92.56
1984-01-06 21:30:00,92.44
1984-01-09 21:30:00,92.73
1984-01-10 21:30:00,92.71
1984-01-11 21:30:00,92.72
1984-01-12 21:30:00,92.77
1984-01-13 21:30:00,92.84
1984-01-16 21:30:00,92.98
1984-01-17 21:30:00,92.83
1984-01-18 21:30:00,93.05
1984-01-19 21:30:00,93.15
1984-01-20 21:30:00,93.19
1984-01-23 21:30:00,92.82
1984-01-24 21:30:00,93.0
1984-01-25 21:30:00,93.08
1984-01-26 21:30:00,93.25
1984-01-27 21:30:00,93.44
1984-01-30 21:30:00,93.19
1984-01-31 21:30:00,93.28
1984-02-01 21:30:00,93.6
1984-02-02 21:30:00,93.49
1984-02-03 21:30:00,93.41
1984-02-06 21:30:00,93.46
1984-02-07 21:30:00,93.34
1984-02-08 21:30:00,93.34
1984-02-09 21:30:00,93.13
1984-02-10 21:30:00,93.13
1984-02-13 21:30:00,92.93
1984-02-14 21:30:00,93.04
1984-02-15 21:30:00,93.13
1984-02-16 21:30:00,93.21
1984-02-17 21:30:00,93.51
1984-02-21 21:30:00,93.4
1984-02-22 21:30:00,93.4
1984-02-23 21:30:00,93.53
1984-02-24 21:30:00,93.71
1984-02-27 21:30:00,94.4
1984-02-28 21:30:00,94.06
1984-02-29 21:30:00,94.16
1984-03-01 21:30:00,94.34
1984-03-02 21:30:00,94.31
1984-03-05 21:30:00,94.39
1984-03-06 21:30:00,94.34
1984-03-07 21:30:00,94.36
1984-03-08 21:30:00,94.41
1984-03-09 21:30:00,94.6
1984-03-12 21:30:00,94.52
1984-03-13 21:30:00,94.47
1984-03-14 21:30:00,94.52
1984-03-15 21:30:00,94.46
1984-03-16 21:30:00,94.25
1984-03-19 21:30:00,94.49
1984-03-20 21:30:00,94.52
1984-03-21 21:30:00,94.42
1984-03-22 21:30:00,94.55
1984-03-23 21:30:00,94.61
1984-03-26 21:30:00,94.59
1984-03-27 21:30:00,94.72
1984-03-28 21:30:00,94.65
1984-03-29 21:30:00,94.86
1984-03-30 21:30:00,94.85
1984-04-02 21:30:00,94.8
1984-04-03 21:30:00,94.85
1984-04-04 21:30:00,94.81
1984-04-05 21:30:00,94.78
1984-04-06 21:30:00,94.75
1984-04-09 21:30:00,94.72
1984-04-10 21:30:00,94.78
1984-04-11 21:30:00,94.8
1984-04-12 21:30:00,94.7
1984-04-13 21:30:00,94.68
1984-04-16 21:30:00,94.69
1984-04-17 21:30:00,94.66
1984-04-18 21:30:00,94.57
1984-04-19 21:30:00,94.59
1984-04-23 21:30:00,94.64
1984-04-24 21:30:00,94.7
1984-04-25 21:30:00,94.62
1984-04-26 21:30:00,94.55
1984-04-27 21:30:00,94.5
1984-04-30 21:30:00,94.33
1984-05-01 21:30:00,94.36
1984-05-02 21:30:00,94.24
1984-05-03 21:30:00,94.23
1984-05-04 21:30:00,94.32
1984-05-07 21:30:00,94.23
1984-05-08 21:30:00,94.29
1984-05-09 21:30:00,94.41
1984-05-10 21:30:00,94.41
1984-05-11 21:30:00,94.43
1984-05-14 21:30:00,94.66
1984-05-15 21:30:00,94.67
1984-05-16 21:30:00,95.05
1984-05-17 21:30:00,94.8
1984-05-18 21:30:00,94.82
1984-05-21 21:30:00,94.64
1984-05-22 21:30:00,94.38
1984-05-23 21:30:00,94.31
1984-05-24 21:30:00,94.46
1984-05-25 21:30:00,94.59
1984-05-29 21:30:00,94.42
1984-05-30 21:30:00,94.52
1984-05-31 21:30:00,94.54
1984-06-01 21:30:00,94.41
1984-06-04 21:30:00,94.46
1984-06-05 21:30:00,94.44
1984-06-06 21:30:00,94.26
1984-06-07 21:30:00,94.11
1984-06-08 21:30:00,94.08
1984-06-11 21:30:00,93.86
1984-06-12 21:30:00,93.88
1984-06-13 21:30:00,93.81
1984-06-14 21:30:00,93.89
1984-06-15 21:30:00,93.74
1984-06-18 21:30:00,93.5
1984-06-19 21:30:00,93.51
1984-06-20 21:30:00,93.38
1984-06-21 21:30:00,92.98
1984-06-22 21:30:00,92.9
1984-06-25 21:30:00,93.19
1984-06-26 21:30:00,93.0
1984-06-27 21:30:00,92.89
1984-06-28 21:30:00,93.2
1984-06-29 21:30:00,93.39
1984-07-02 21:30:00,93.23
1984-07-03 21:30:00,93.14
1984-07-05 21:30:00,93.21
1984-07-06 21:30:00,93.29
1984-07-09 21:30:00,93.11
1984-07-10 21:30:00,93.04
1984-07-11 21:30:00,92.99
1984-07-12 21:30:00,92.72
1984-07-13 21:30:00,92.59
1984-07-16 21:30:00,92.52
1984-07-17 21:30:00,92.63
1984-07-18 21:30:00,92.46
1984-07-19 21:30:00,92.24
1984-07-20 21:30:00,92.03
1984-07-23 21:30:00,91.9
1984-07-24 21:30:00,91.7
1984-07-25 21:30:00,91.55
1984-07-26 21:30:00,91.32
1984-07-27 21:30:00,91.25
1984-07-30 21:30:00,91.19
1984-07-31 21:30:00,91.15
1984-08-01 21:30:00,91.68
1984-08-02 21:30:00,92.62
1984-08-03 21:30:00,92.33
1984-08-06 21:30:00,92.67
1984-08-07 21:30:00,92.86
1984-08-08 21:30:00,92.93
1984-08-09 21:30:00,92.9
1984-08-10 21:30:00,92.63
1984-08-13 21:30:00,92.7
1984-08-14 21:30:00,92.8
1984-08-15 21:30:00,92.74
1984-08-16 21:30:00,92.54
1984-08-17 21:30:00,92.58
1984-08-20 21:30:00,92.63
1984-08-21 21:30:00,92.87
1984-08-22 21:30:00,93.07
1984-08-23 21:30:00,92.96
1984-08-24 21:30:00,93.1
1984-08-27 21:30:00,93.05
1984-08-28 21:30:00,93.06
1984-08-29 21:30:00,92.94
1984-08-30 21:30:00,92.47
1984-08-31 21:30:00,92.42
1984-09-04 21:30:00,92.23
1984-09-05 21:30:00,92.07
1984-09-06 21:30:00,92.47
1984-09-07 21:30:00,92.41
1984-09-10 21:30:00,92.55
1984-09-11 21:30:00,92.72
1984-09-12 21:30:00,92.5
1984-09-13 21:30:00,92.54
1984-09-14 21:30:00,92.47
1984-09-17 21:30:00,92.39
1984-09-18 21:30:00,92.43
1984-09-19 21:30:00,92.58
1984-09-20 21:30:00,92.54
1984-09-21 21:30:00,92.43
1984-09-24 21:30:00,92.44
1984-09-25 21:30:00,92.51
1984-09-26 21:30:00,92.5
1984-09-27 21:30:00,92.54
1984-09-28 21:30:00,92.62
1984-10-01 21:30:00,92.65
1984-10-02 21:30:00,92.58
1984-10-03 21:30:00,92.5
1984-10-04 21:30:00,92.43
1984-10-05 21:30:00,92.36
1984-10-08 21:30:00,92.33
1984-10-09 21:30:00,92.41
1984-10-10 21:30:00,92.29
1984-10-11 21:30:00,92.24
1984-10-12 21:30:00,92.02
1984-10-15 21:30:00,91.75
1984-10-16 21:30:00,91.63
1984-10-17 21:30:00,90.81
1984-10-18 21:30:00,90.5
1984-10-19 21:30:00,90.65
1984-10-22 21:30:00,91.4
1984-10-23 21:30:00,91.31
1984-10-24 21:30:00,91.46
1984-10-25 21:30:00,91.6
1984-10-26 21:30:00,91.53
1984-10-29 21:30:00,91.36
1984-10-30 21:30:00,91.17
1984-10-31 21:30:00,91.41
1984-11-01 21:30:00,91.69
1984-11-02 21:30:00,91.6
1984-11-05 21:30:00,91.5
1984-11-06 21:30:00,91.65
1984-11-07 21:30:00,91.68
1984-11-08 21:30:00,91.63
1984-11-09 21:30:00,91.48
1984-11-12 21:30:00,91.37
1984-11-13 21:30:00,91.41
1984-11-14 21:30:00,91.39
1984-11-15 21:30:00,91.35
1984-11-16 21:30:00,91.2
1984-11-19 21:30:00,90.95
1984-11-20 21:30:00,90.97
1984-11-21 21:30:00,90.86
1984-11-26 21:30:00,90.28
1984-11-27 21:30:00,90.43
1984-11-28 21:30:00,90.44
1984-11-29 21:30:00,90.6
1984-11-30 21:30:00,90.43
1984-12-03 21:30:00,90.42
1984-12-04 21:30:00,90.64
1984-12-05 21:30:00,90.82
1984-12-06 21:30:00,90.8
1984-12-07 21:30:00,90.58
1984-12-10 21:30:00,90.57
1984-12-11 21:30:00,90.37
1984-12-12 21:30:00,89.84
1984-12-13 21:30:00,89.69
1984-12-14 21:30:00,89.57
1984-12-17 21:30:00,89.61
1984-12-18 21:30:00,89.6
1984-12-19 21:30:00,89.19
1984-12-20 21:30:00,89.14
1984-12-21 21:30:00,89.31
1984-12-26 21:30:00,89.6
1984-12-27 21:30:00,89.15
1984-12-28 21:30:00,89.22
1985-01-02 21:30:00,88.73
1985-01-03 21:30:00,88.65
1985-01-04 21:30:00,87.99
1985-01-07 21:30:00,88.37
1985-01-08 21:30:00,88.29
1985-01-09 21:30:00,88.24
1985-01-10 21:30:00,88.57
1985-01-11 21:30:00,88.58
1985-01-14 21:30:00,88.93
1985-01-15 21:30:00,88.72
1985-01-16 21:30:00,88.43
1985-01-17 21:30:00,88.5
1985-01-18 21:30:00,88.49
1985-01-21 21:30:00,88.71
1985-01-22 21:30:00,88.29
1985-01-23 21:30:00,88.12
1985-01-24 21:30:00,88.02
1985-01-25 21:30:00,87.99
1985-01-28 21:30:00,87.97
1985-01-29 21:30:00,88.12
1985-01-30 21:30:00,88.41
1985-01-31 21:30:00,89.15
1985-02-01 21:30:00,89.48
1985-02-04 21:30:00,89.26
1985-02-05 21:30:00,89.52
1985-02-06 21:30:00,89.81
1985-02-07 21:30:00,89.95
1985-02-08 21:30:00,90.33
1985-02-11 21:30:00,90.78
1985-02-12 21:30:00,90.1
1985-02-13 21:30:00,90.56
1985-02-14 21:30:00,90.54
1985-02-15 21:30:00,90.54
1985-02-19 21:30:00,90.45
1985-02-20 21:30:00,90.34
1985-02-21 21:30:00,90.3
1985-02-22 21:30:00,89.92
1985-02-25 21:30:00,89.6
1985-02-26 21:30:00,89.95
1985-02-27 21:30:00,89.85
1985-02-28 21:30:00,89.89
1985-03-01 21:30:00,90.36
1985-03-04 21:30:00,90.9
1985-03-05 21:30:00,90.71
1985-03-06 21:30:00,90.93
1985-03-07 21:30:00,91.24
1985-03-08 21:30:00,90.9
1985-03-11 21:30:00,90.73
1985-03-12 21:30:00,91.08
1985-03-13 21:30:00,91.22
1985-03-14 21:30:00,91.35
1985-03-15 21:30:00,91.48
1985-03-18 21:30:00,92.01
1985-03-19 21:30:00,91.96
1985-03-20 21:30:00,91.76
1985-03-21 21:30:00,92.11
1985-03-22 21:30:00,92.01
1985-03-25 21:30:00,91.86
1985-03-26 21:30:00,92.22
1985-03-27 21:30:00,91.93
1985-03-28 21:30:00,92.02
1985-03-29 21:30:00,92.06
1985-04-01 21:30:00,92.49
1985-04-02 21:30:00,92.62
1985-04-03 21:30:00,92.59
1985-04-04 21:30:00,92.67
1985-04-08 21:30:00,92.86
1985-04-09 21:30:00,92.82
1985-04-10 21:30:00,93.01
1985-04-11 21:30:00,92.71
1985-04-12 21:30:00,92.45
1985-04-15 21:30:00,92.91
1985-04-16 21:30:00,92.81
1985-04-17 21:30:00,92.72
1985-04-18 21:30:00,92.79
1985-04-19 21:30:00,93.08
1985-04-22 21:30:00,93.33
1985-04-23 21:30:00,93.16
1985-04-24 21:30:00,92.77
1985-04-25 21:30:00,92.71
1985-04-26 21:30:00,92.78
1985-04-29 21:30:00,92.5
1985-04-30 21:30:00,92.47
1985-05-01 21:30:00,92.17
1985-05-02 21:30:00,92.2
1985-05-03 21:30:00,92.13
1985-05-06 21:30:00,92.03
1985-05-07 21:30:00,92.15
1985-05-08 21:30:00,92.01
1985-05-09 21:30:00,92.42
1985-05-10 21:30:00,92.22
1985-05-13 21:30:00,92.43
1985-05-14 21:30:00,92.5
1985-05-15 21:30:00,92.63
1985-05-16 21:30:00,92.77
1985-05-17 21:30:00,92.64
1985-05-20 21:30:00,92.74
1985-05-21 21:30:00,92.89
1985-05-22 21:30:00,92.85
1985-05-23 21:30:00,93.35
1985-05-24 21:30:00,93.45
1985-05-28 21:30:00,93.32
1985-05-29 21:30:00,93.39
1985-05-30 21:30:00,93.67
1985-05-31 21:30:00,93.59
